N,Rayon,Cena,LnCena,CenaM,Nkomnat,PlOb,LnPlOb,PlZ,LnPlZ,PlK,LnPlK,ketaz,Type,God
183,Фрунзенский,66000,11.09741002,1320,2,50,3.912023005,30,3.401197382,7.2,1.974081026,0,0,1981
184,Фрунзенский,85000,11.35040654,1466,2,58,4.060443011,30,3.401197382,11,2.397895273,0,0,2010
185,Центральный,49000,10.79957558,1140,2,43,3.761200116,30,3.401197382,6,1.791759469,1,0,1963
186,Центральный,148000,11.90496755,2387,3,62,4.127134385,30,3.401197382,18.2,2.901421594,1,1,1954
187,Центральный,53000,10.87804719,1178,2,45,3.80666249,30,3.401197382,5.8,1.757857918,1,1,1965
188,Фрунзенский,65000,11.08214255,1477,2,44,3.784189634,30.3,3.411147713,5.7,1.740466175,0,0,1965
189,Московский,55000,10.91508846,1310,2,42,3.737669618,30.5,3.417726684,6.2,1.824549292,0,1,1961
190,Первомайский,53000,10.87804719,1152,2,46,3.828641396,30.5,3.417726684,5.6,1.722766598,0,0,1962
192,Партизанский,53500,10.88743693,1166,2,45.89,3.826247228,30.6,3.421000009,6,1.791759469,0,0,1964
194,Центральный,53000,10.87804719,1186,2,44.7,3.799973502,30.7,3.424262655,5.9,1.774952351,0,0,1962
195,Фрунзенский,54500,10.90595598,1217,2,44.8,3.802208139,30.9,3.430756184,6,1.791759469,0,0,1967
196,Заводской,68000,11.12726298,1115,2,61,4.110873864,31,3.433987204,9.5,2.251291799,1,0,2010
197,Ленинский,75000,11.22524339,1293,2,58,4.060443011,31,3.433987204,9.8,2.282382386,1,0,2003
198,Ленинский,85000,11.35040654,1417,2,60,4.094344562,31,3.433987204,9,2.197224577,0,0,2010
199,Первомайский,51000,10.83958091,1214,2,42,3.737669618,31,3.433987204,6,1.791759469,1,0,1961
200,Первомайский,51000,10.83958091,1214,2,42,3.737669618,31,3.433987204,6,1.791759469,1,0,1961
201,Советский,83000,11.32659589,1766,2,47,3.850147602,31,3.433987204,8,2.079441542,0,1,1961
202,Советский,54000,10.89673933,1256,2,43,3.761200116,31,3.433987204,6.1,1.808288771,0,1,1963
203,Фрунзенский,69000,11.14186178,1353,2,51,3.931825633,31,3.433987204,7.2,1.974081026,0,1,1984
204,Фрунзенский,72000,11.1844214,1180,2,61,4.110873864,31,3.433987204,9.5,2.251291799,0,0,2008
205,Фрунзенский,55000,10.91508846,1168,2,47.1,3.852273001,31,3.433987204,7.6,2.028148247,1,0,1973
206,Центральный,53000,10.87804719,1218,2,43.5,3.772760938,31,3.433987204,6.5,1.871802177,0,0,1963
207,Центральный,54000,10.89673933,1200,2,45,3.80666249,31,3.433987204,7.5,2.014903021,1,0,1965
208,Фрунзенский,54000,10.89673933,1253,2,43.1,3.763522997,31.3,3.443618098,5.6,1.722766598,0,1,1965
209,Советский,190000,12.15477935,3405,2,55.8,4.021773869,31.4,3.446807893,8.7,2.163323026,0,1,1959
210,Ленинский,55000,10.91508846,1170,2,47,3.850147602,31.5,3.449987546,6.12,1.811562097,0,0,1969
211,Ленинский,54000,10.89673933,1144,2,47.2,3.854393893,31.7,3.456316681,6.2,1.824549292,1,0,1970
212,Фрунзенский,73000,11.19821472,1351,2,54.03,3.989539448,31.7,3.456316681,9.4,2.240709689,1,0,1983
213,Октябрьский,54000,10.89673933,1116,2,48.4,3.879499814,31.8,3.45946629,7.4,2.00148,0,0,1976
214,Первомайский,54000,10.89673933,1144,2,47.2,3.854393893,31.8,3.45946629,6,1.791759469,1,0,1968
215,Фрунзенский,55000,10.91508846,1136,2,48.4,3.879499814,31.8,3.45946629,7.5,2.014903021,1,0,1971
216,Заводской,54500,10.90595598,1160,2,47,3.850147602,32,3.465735903,6.2,1.824549292,1,0,1967
217,Ленинский,105000,11.56171563,1750,2,60,4.094344562,32,3.465735903,10,2.302585093,1,1,1954
218,Ленинский,54000,10.89673933,1149,2,47,3.850147602,32,3.465735903,6,1.791759469,1,0,1975
219,Ленинский,54700,10.90961899,1094,2,50,3.912023005,32,3.465735903,6.2,1.824549292,0,0,1971
221,Октябрьский,82000,11.31447453,1421,2,57.7,4.055257174,32,3.465735903,10,2.302585093,0,0,2006
223,Партизанский,70000,11.15625052,1346,2,52,3.951243719,32,3.465735903,9,2.197224577,0,1,2002
224,Советский,69000,11.14186178,1500,2,46,3.828641396,32,3.465735903,7.2,1.974081026,0,1,1961
225,Фрунзенский,60000,11.00209984,1000,3,60,4.094344562,32,3.465735903,10,2.302585093,0,0,1982
226,Фрунзенский,62500,11.04292184,1157,2,54,3.988984047,32,3.465735903,9.3,2.2300144,0,0,1983
227,Фрунзенский,54500,10.90595598,1144,2,47.63,3.863462815,32,3.465735903,6.2,1.824549292,1,0,1973
228,Центральный,120000,11.69524702,2222,2,54,3.988984047,32,3.465735903,8,2.079441542,1,1,1982
229,Заводской,58000,10.96819829,1155,2,50.2,3.916015027,32.1,3.46885603,7.1,1.960094784,0,1,1974
231,Центральный,54500,10.90595598,1230,2,44.3,3.790984677,32.52,3.481855285,5.8,1.757857918,0,1,1962
232,Заводской,51000,10.83958091,1092,2,46.7,3.843744165,32.8,3.490428515,6,1.791759469,1,0,1962
234,Заводской,67000,11.1124479,1314,2,51,3.931825633,33,3.496507561,8,2.079441542,0,1,1970
235,Заводской,53500,10.88743693,1189,2,45,3.80666249,33,3.496507561,6,1.791759469,0,0,1964
236,Фрунзенский,52000,10.858999,1156,2,45,3.80666249,33,3.496507561,6,1.791759469,1,0,1968
237,Центральный,150000,11.91839057,2239,2,67,4.204692619,33,3.496507561,10,2.302585093,1,1,2008
240,Центральный,54000,10.89673933,1200,2,45,3.80666249,33,3.496507561,5.7,1.740466175,0,0,1963
241,Октябрьский,54900,10.91326863,1036,2,53,3.970291914,33.5,3.511545439,8,2.079441542,0,1,1978
242,Фрунзенский,150000,11.91839057,2113,2,71,4.262679877,33.6,3.514526067,19,2.944438979,0,1,2005
244,Ленинский,56000,10.93310697,1120,2,50,3.912023005,34,3.526360525,6.2,1.824549292,0,0,1970
245,Ленинский,69500,11.14908203,1139,2,61,4.110873864,34,3.526360525,8,2.079441542,0,1,1957
246,Советский,79000,11.27720313,1491,2,53,3.970291914,34,3.526360525,6,1.791759469,0,1,1968
247,Заводской,55000,10.91508846,1102,2,49.9,3.910021003,34.4,3.538056564,6.2,1.824549292,0,0,1970
248,Октябрьский,54000,10.89673933,1087,2,49.7,3.906004933,34.4,3.538056564,6.2,1.824549292,0,0,1968
249,Ленинский,68500,11.13458902,1245,3,55,4.007333185,35,3.555348061,7.6,2.028148247,0,1,1975
250,Ленинский,56000,10.93310697,1057,3,53,3.970291914,35,3.555348061,6,1.791759469,1,0,1967
251,Ленинский,105000,11.56171563,1944,2,54,3.988984047,35,3.555348061,8.7,2.163323026,0,1,1948
252,Первомайский,170000,12.04355372,2429,2,70,4.248495242,35,3.555348061,14,2.63905733,0,0,2007
253,Партизанский,53000,10.87804719,994,2,53.3,3.975936331,35.4,3.56671182,7,1.945910149,0,1,1975
254,Фрунзенский,74000,11.21182037,1138,3,65,4.17438727,35.5,3.569532696,8,2.079441542,0,1,1967
255,Первомайский,205000,12.23076526,3213,2,63.8,4.15575319,36,3.583518938,11.7,2.459588842,0,1,1947
256,Фрунзенский,83000,11.32659589,1122,2,74,4.304065093,36,3.583518938,11,2.397895273,0,0,2008
257,Фрунзенский,77000,11.2515607,1027,2,75,4.317488114,36,3.583518938,11,2.397895273,1,0,2008
258,Фрунзенский,78000,11.26446411,1114,2,70,4.248495242,36,3.583518938,12,2.48490665,0,0,2003
259,Первомайский,110000,11.60823564,1565,2,70.3,4.252771799,36.2,3.589059119,15.2,2.721295428,0,1,2008
260,Ленинский,90000,11.40756495,1475,2,61,4.110873864,37,3.610917913,8,2.079441542,1,1,1982
261,Советский,82000,11.31447453,1302,3,63,4.143134726,37,3.610917913,9,2.197224577,1,0,1982
262,Первомайский,60000,11.00209984,1119,2,53.6,3.981549068,37.6,3.62700405,6.2,1.824549292,0,0,1968
263,Ленинский,160000,11.98292909,2857,2,56,4.025351691,38,3.63758616,6.5,1.871802177,0,1,1960
264,Ленинский,160000,11.98292909,2857,2,56,4.025351691,38,3.63758616,6.5,1.871802177,0,1,1960
265,Октябрьский,88000,11.38509209,1333,3,66,4.189654742,38,3.63758616,9,2.197224577,0,0,1985
266,Советский,98000,11.49272276,1307,2,75,4.317488114,38,3.63758616,10.4,2.341805806,0,0,2010
268,Партизанский,114000,11.64395373,1900,2,60,4.094344562,39,3.663561646,8,2.079441542,0,1,1960
269,Ленинский,98000,11.49272276,1361,3,72,4.276666119,40,3.688879454,10,2.302585093,1,1,1951
270,Октябрьский,100000,11.51292546,1515,3,66,4.189654742,40,3.688879454,9,2.197224577,0,1,1979
271,Партизанский,140000,11.8493977,1867,3,75,4.317488114,40,3.688879454,11,2.397895273,1,1,1959
272,Советский,90000,11.40756495,1385,3,65,4.17438727,40,3.688879454,9,2.197224577,0,1,1987
273,Фрунзенский,71000,11.17043516,1268,2,56,4.025351691,40,3.688879454,9,2.197224577,0,0,2009
275,Октябрьский,57000,10.95080655,983,3,58,4.060443011,41,3.713572067,6,1.791759469,1,0,1970
278,Фрунзенский,79000,11.27720313,1152,3,68.6,4.228292535,41.9,3.735285827,7.2,1.974081026,0,0,1994
280,Советский,250000,12.4292162,3472,3,72,4.276666119,42,3.737669618,10,2.302585093,1,1,1949
281,Центральный,185000,12.1281111,2534,3,73,4.290459441,42,3.737669618,14,2.63905733,0,1,1987
282,Центральный,125000,11.73606902,1603,3,78,4.356708827,42,3.737669618,9.6,2.261763098,0,0,2006
283,Первомайский,82000,11.31447453,1262,3,65,4.17438727,42.2,3.742420221,7.2,1.974081026,0,0,1995
